name,surname,gender,occupacy,level_of_education,email,bank_account_number,IBAN,account_type,currency_unit,total_balance_available,available_for_loan
Ahmet,Özdemir,M,teacher,BSc,ahmet_ozdemir35@gmail.com,0123-4567890,TR12 3456 7890 1234 5678 90,deposit,₺,768,😊
Ceren,Kılıç,F,accountant,HS,ceren_kkilic@hotmail.com,3242-5456343,TR56 2354 5442 5535 3434 43,daily_deposit,₺,489,☹
Deniz,Aycan,F,doctor,PhD,aycanDnz@gmail.com,4422-6749332,TR12 8575 3737 6943 3453 21,deposit,$,5120,😊
Hasan,Sonat,M,butcher,PS,hsn_snt@yahoo.com,1928-4329787,TR37 9876 6543 2109 8763 34,drawing,₺,650,☹
Fern,Dawson,M,academician,MSc,fern_dawson@gmail.com,2324-3242231,TR57 2425 9598 2324 8492 23,drawing,€,953,😊
Oskar,Andrews,M,doctor,PhD,oskar@hotmail.com,9686-8473734,TR96 8334 3242 2523 5230 02,deposit,₺,1204,😊
Kaleb,Rogers,M,lawyer,BSc,,5843-9503058,TR67 8430 3853 5320 5275 73,daily_deposit,₺,212,☹
Aayan,Fuentes,F,police,HS,aayannn@yahoo.com,6774-0302135,TR12 9438 3004 3544 3266 34,drawing,$,450,☹
Mohammed,Hampton,M,businessman,HS,mohammedhampton@yahoo.com,9000-1113813,TR85 9359 1432 9101 4519 00,deposit,€,985,😊
Rafael,Luna,M,unemployed,PS,rafluna@hotmail.com,1928-4727423,TR58 3572 0105 3720 2773 25,drawing,₺,150,☹
Serena,Moon,F,unemployed,BSc,serenamoon@gmail.com,6748-2021741,TR94 9271 3914 7944 5357 29,deposit,$,500,😊
Alasdair,Page,F,,BSc,alasdairp@gmail.com,5738-5921015,TR62 9839 6664 9392 0234 34,daily_deposit,₺,910,😊
Dawson,Ball,M,businessman,MSc,balldawson@gmail.com,9349-7177133,TR11 1132 1121 5343 9538 22,deposit,₺,1320,😊
Tallulah,Figueroa,M,greengrocer,HS,tallulahfig@hotmail.com,2748-2842910,TR19 3194 7196 5033 2774 79,drawing,€,250,☹
Kamil,Mccullough,M,engineer,MSc,kamilmccul@yahoo.com,9849-2917470,TR75 0202 7188 5626 3761 81,drawing,$,1024,😊
Teddy,Davis,M,academician,PhD,teddydavis@hotmail.com,5739-1001757,TR80 4829 1977 7291 9572 91,daily_deposit,₺,675,😊
Otto,Bradford,F,engineer,BSc,ottobradford@gmail.com,8201-7570214,TR11 2141 2321 3358 0238 65,deposit,₺,1824,😊
Wiktor,Fleming,M,salesperson,HS,wiktorfleming@yahoo.com,7023-2423580,TR05 9288 1047 7400 2018 51,deposit,₺,310,☹
Isaac,Underwood,M,pharmacist,BSc,isaac@gmail.com,9572-8910382,TR85 9203 3352 0288 2242 44,deposit,$,690,😊
Franklin,Shepard,M,dentist,MSc,sheapard@gmail.com,7488-3666232,TR11 1323 1188 4779 9338 77,daily_deposit,₺,820,😊
